RI, Na, Mg, Al, Si, K, Ca, Ba, Fe,Class
151768786.00,1265185.00,356057.00,130115.00,730804.00, 0.60858,869028.00, 0.0, 0.0714,0
151755118.00,127117.00,342138.00,119843.00,73198.00, 0.58995,863648.00, 0.0, 0.0,0
151768786.00,1245235.00,271196.00,129152.00,73702.00, 0.5589,905612.00, 0.0, 0.1224,0
151905466.00,136028.00,361894.00,110855.00,72638.00, 0.14283,875484.00, 0.0, 0.0,0
151766508.00,1321045.00,369078.00,129152.00, 72.61, 0.57132,821684.00, 0.0, 0.0,0
151566044.00,1329025.00,344832.00,121127.00,727388.00, 0.5589,857192.00, 0.0, 0.0,0
152226664.00,1416805.00,381201.00, 0.78113, 71.35, 0.0,969096.00, 0.0, 0.0,0
151966972.00,147732.00,374915.00, 0.29,72022.00, 0.03105,900232.00, 0.0, 0.0,0
151777898.00,1321045.00,281074.00,129152.00,729796.00, 0.50922,902384.00, 0.0, 0.459,0
15219705.00,143609.00,384793.00, 0.89027,713612.00, 0.14904,915296.00, 0.0, 0.0,0
15190091.00,1348975.00,347975.00,13493.00,719492.00, 0.55269,900232.00, 0.0, 0.0,0
151848516.00,136427.00,387038.00,126905.00,719604.00, 0.54027,832444.00, 0.0, 0.1632,0
151818902.00,137225.00, 0.0, 0.55964,744524.00, 0.0,1099292.00, 0.0, 0.0,0
151663998.00,1293115.00,353812.00,161894.00,729572.00, 0.63963,803392.00, 0.0, 0.1071,0
151709558.00,1299765.00,347077.00,178907.00,72722.00, 0.65826,818456.00, 0.0, 0.0,0
151689056.00,126718.00,287809.00,170882.00,732092.00, 0.73278,853964.00, 0.0, 0.0,0
15266404.00,1122875.00, 0.0, 0.7715,732092.00, 0.0,146836.00, 0.0, 0.0,0
151850794.00,1319715.00,362792.00,107003.00,728284.00, 0.57132,841052.00, 0.09135, 0.0867,0
151812068.00,1295775.00,295891.00,142955.00,72918.00, 0.60237,878712.00, 0.1386, 0.0,0
151645774.00,1340995.00,355159.00,124979.00,728116.00, 0.6831,809848.00, 0.0, 0.0,0
151629828.00,127117.00,333158.00,149054.00,73282.00, 0.67068,823836.00, 0.0, 0.0,0
152725546.00,138023.00,315198.00, 0.65915,705716.00, 0.08073,1163852.00, 0.0, 0.0,0
151891798.00,1346315.00,382997.00,125942.00,725484.00, 0.57132,820608.00, 0.0, 0.0714,0
151871296.00,1293115.00,365935.00,156116.00,725092.00, 0.57753,85504.00, 0.0, 0.0612,0
152176548.00,137491.00,101025.00,135893.00, 72.19, 0.32913,1114356.00, 0.0, 0.0,0
15162755.00,1299765.00,357853.00,153869.00,728284.00, 0.60858,804468.00, 0.0, 0.0,0
151618438.00,1301095.00,35022.00,148091.00, 72.89, 0.60237, 8.12, 0.0, 0.0,0
15160477.00,128979.00,343934.00,144881.00, 73.58, 0.44091,827064.00, 0.0, 0.0,0
15170728.00,137225.00,36818.00,181154.00,720612.00, 0.63963,788328.00, 0.0, 0.0,0
151666276.00,129378.00,360996.00,125942.00, 72.75, 0.5589,86042.00, 0.0, 0.0,0
152613924.00,1370255.00, 0.0,135893.00,71238.00, 0.19251,1343544.00, 0.0, 0.051,0
151689056.00,1333015.00,353812.00,160931.00,725428.00, 0.6831,810924.00, 0.0, 0.0,0
151645774.00,134432.00,360996.00,153869.00,723916.00, 0.65826,803392.00, 0.0, 0.0,0
15159338.00,1325035.00,344832.00,142955.00, 73.17, 0.60858,786176.00, 0.0, 0.0,0
151743728.00,1219965.00,325076.00,115991.00,735508.00, 0.621,889472.00, 0.0, 0.1224,0
152474966.00,114482.00, 0.0,187895.00, 72.19, 0.8073,1324176.00, 0.0, 0.1734,0
151828014.00,1323705.00,390181.00,141029.00, 72.33, 0.55269,831368.00, 0.0, 0.051,0
151789288.00,131905.00,390181.00,130115.00, 72.33, 0.55269,84428.00, 0.0, 0.1428,0
151839404.00,1285135.00,366833.00,124016.00,725708.00, 0.621,867952.00, 0.0, 0.1785,0
15159338.00,1309075.00,3592.00,151943.00,730972.00, 0.67068,782948.00, 0.0, 0.0,0
15159338.00,1309075.00,352016.00,155153.00,728676.00, 0.6831,804468.00, 0.0, 0.459,0
151588824.00,1311735.00,340791.00,158042.00,732596.00, 0.06831,8389.00, 0.0, 0.0969,0
151818902.00,126186.00,276135.00, 0.82928,738084.00, 0.34776,942196.00, 0.0, 0.102,0
151846238.00,130974.00,396916.00,11888.00,72442.00, 0.60237,843204.00, 0.0, 0.0,0
152080872.00,1378235.00,228092.00,142955.00,719884.00, 0.49059,985236.00, 0.0, 0.0867,0
151711836.00,1289125.00,361894.00,157079.00,729572.00, 0.60858,810924.00, 0.0, 0.0,0
151613882.00,13922.00,352016.00,124979.00,728788.00, 0.3726,793708.00, 0.0, 0.0714,0
151591102.00,12858.00,352016.00,21197.00,726604.00, 0.68931,796936.00, 0.0, 0.0,0
151841682.00,130176.00,361894.00,10604.00,723412.00, 0.63963,913144.00, 0.0, 0.0765,0
152408904.00,138289.00,290054.00,116954.00,711484.00, 0.08073,1078848.00, 0.0, 0.0,0
151652608.00,135629.00,356955.00,147128.00,724476.00, 0.63963,79586.00, 0.0, 0.0,0
15184396.00,1325035.00,375813.00,132041.00,724028.00, 0.57753,842128.00, 0.0, 0.0,0
151812068.00,134299.00,397814.00,117917.00,724924.00, 0.57753,815228.00, 0.0, 0.0,0
151632106.00,133368.00,356955.00,157079.00,728676.00, 0.60858,789404.00, 0.0, 0.0,0
151645774.00,134033.00,348873.00,151943.00,726492.00, 0.67068,807696.00, 0.0, 0.051,0
152222108.00,144274.00, 0.0, 0.99941,726716.00, 0.09936,1152016.00, 0.0, 0.0408,0
152739214.00,110226.00, 0.0, 0.74903,730804.00, 0.0,1496336.00, 0.0, 0.0,0
151686778.00,132304.00,353812.00,148091.00,728396.00, 0.5589,809848.00, 0.0, 0.0,0
151812068.00,1333015.00,384793.00,124979.00,72778.00, 0.52164, 8.12, 0.0, 0.0,0
15166172.00,1285135.00,351118.00,143918.00,730076.00, 0.6831,82276.00, 0.5985, 0.1275,0
151572878.00,1485965.00,366833.00,174092.00,718708.00, 0.16146,735604.00, 0.0, 0.0612,0
151625272.00,1335675.00,357853.00,149054.00,72722.00, 0.44712,820608.00, 0.0, 0.0,0
151859906.00,1335675.00,343036.00,142955.00,722628.00, 0.50922,86042.00, 0.0, 0.0,0
15173006.00,123526.00,272094.00,162857.00,728676.00, 0.70173,922828.00, 0.0, 0.0,0
15170728.00,134831.00,347975.00,170882.00,725204.00, 0.621,799088.00, 0.0, 0.0,0
151805234.00,1299765.00,379854.00,107966.00,730692.00, 0.5589,837824.00, 0.0, 0.0612,0
151591102.00,130176.00,357853.00,15098.00,731196.00, 0.68931,79586.00, 0.0, 0.0,0
151568322.00,1323705.00,348873.00,147128.00,732484.00, 0.37881,803392.00, 0.0, 0.0,0
151841682.00,1293115.00,374017.00,110855.00,722796.00, 0.63963,895928.00, 0.0, 0.1122,0
153393.00,122994.00, 0.0, 0.99941,701628.00, 0.11799, 16.19, 0.0, 0.1224,0
15277794.00,1263855.00, 0.0, 0.66878,72022.00, 0.0621,1440384.00, 0.0, 0.0,0
152019366.00,1398185.00,135149.00,162857.00,717588.00, 0.39123,1056252.00, 0.0, 0.51,0
151800678.00,137092.00,392875.00,153869.00,718092.00, 0.54027,820608.00, 0.0, 0.0765,0
151591102.00,128181.00,352016.00,190142.00,72862.00, 0.68931,796936.00, 0.0, 0.0,0
15163894.00,125521.00,347975.00,186932.00,732316.00, 0.62721,807696.00, 0.0, 0.459,0
151591102.00,1323705.00,334056.00,147128.00,730972.00, 0.39123,821684.00, 0.0, 0.0,0
151654886.00,127516.00,285115.00,143918.00,732708.00, 0.57132,878712.00, 0.11025, 0.1122,0
15167311.00,132969.00,364139.00,152906.00,725316.00, 0.65205,803392.00, 0.0, 0.1479,0
152176548.00,1319715.00,36818.00,115028.00, 72.75, 0.54027,851812.00, 0.0, 0.0,0
15167311.00,128713.00,356057.00,164141.00,73142.00, 0.65205,799088.00, 0.0, 0.0,0
151595658.00,130176.00,356057.00,153869.00,731084.00, 0.72036,79048.00, 0.0, 0.0,0
151408862.00,1424785.00,308912.00,208118.00,722796.00,109917.00,707628.00, 0.0, 0.0,0
153124196.00, 10.73, 0.0,210044.00, 69.81, 0.57753,1329556.00, 3.15, 0.1428,0
151846238.00,1340995.00,388834.00,133004.00,723804.00, 0.50922,82814.00, 0.0, 0.0,0
152067204.00,135496.00,208785.00,16703.00,721788.00, 0.52785,95726.00, 0.2709, 0.0867,0
15167311.00,127915.00,352016.00,153869.00,733604.00, 0.65826,79048.00, 0.0, 0.0,0
151659442.00,12991.00,317892.00,123053.00,729684.00, 0.57753,880864.00, 0.0, 0.1224,0
15177562.00,1352965.00,340791.00,151943.00,720388.00, 0.57753,878712.00, 0.0, 0.0,0
151609326.00,1333015.00,352914.00,133967.00,726716.00, 0.5589,83352.00, 0.0, 0.0,0
151663998.00,131373.00,344832.00,176018.00,724812.00, 0.60237,837824.00, 0.0, 0.0867,0
152121876.00,140284.00,375813.00, 0.5789,717924.00, 0.11178,964792.00, 0.0, 0.0,0
151645774.00,1303755.00,339893.00,125942.00,730076.00, 0.52164,858268.00, 0.0, 0.0,0
152210718.00,14188.00,378058.00, 0.90953,713612.00, 0.22977,91422.00, 0.0, 0.1887,0
151693612.00,12858.00,357853.00,131078.00, 72.61, 0.60858,878712.00, 0.0, 0.0,0
151777898.00,136427.00,365037.00, 0.64952,73002.00, 0.0621,8927.00, 0.0, 0.0,0
151796122.00,1350305.00,335852.00,162857.00,71938.00, 0.57132,880864.00, 0.0, 0.459,0
151609326.00,1342325.00,339893.00,12209.00,726884.00, 0.58995,832444.00, 0.0, 0.0,0
15193508.00,136427.00,353812.00, 0.74903,726492.00, 0.16146,889472.00, 0.1512, 0.1224,0
151768786.00,1364935.00,365935.00,110855.00,727724.00, 0.11178,86042.00, 0.0, 0.0,0
15183257.00,1333015.00,334056.00,153869.00,721396.00, 0.5589,899156.00, 0.0, 0.0,0
151670832.00,1323705.00,356955.00,13814.00,726996.00, 0.5589,84428.00, 0.0, 0.051,0
151654886.00,1340995.00,338995.00,127868.00,72638.00, 0.52164,864724.00, 0.0, 0.0,0
152126432.00,14321.00,390181.00, 0.82928,715012.00, 0.0,948652.00, 0.0, 0.0,0
151643496.00,1215975.00,352016.00,13493.00, 72.89, 0.57132,852888.00, 0.0, 0.0,0
15196925.00,1263855.00, 0.0,165104.00,737524.00, 0.37881,1153092.00, 0.0, 0.0,0
151914578.00,1273165.00,184988.00,185969.00,726884.00, 0.60237,1008908.00, 0.0, 0.0,0
15151365.00,1400845.00,268053.00, 3.5,698884.00,168291.00,587116.00,21987.00, 0.0,0
151315464.00,130176.00, 0.0,304097.00,70482.00, 6.21,695792.00, 0.0, 0.0,0
152119598.00,1297105.00, 0.32777,15098.00,733884.00, 0.13041,1127268.00, 0.0, 0.1428,0
15215149.00,1102925.00,171069.00,156116.00,734388.00, 0.57753,11617.00, 0.0, 0.0,0
15132002.00,1299765.00, 0.0,30185.00,707004.00, 6.21,692564.00, 0.0, 0.0,0
151666276.00,12858.00, 0.0,18308.00,738812.00, 0.96876,1017516.00, 0.0, 0.0,0
1523679.00,134432.00, 0.0,158042.00,72218.00, 0.32292,1224108.00, 0.0, 0.0,0
152042146.00,133767.00, 0.0,140066.00,722516.00, 0.32913,1249932.00, 0.0, 0.0,0
151994308.00,132703.00, 0.0,176018.00, 73.03, 0.47196,1131572.00, 0.0, 0.0,0
152058092.00,1285135.00,161191.00,217106.00,721788.00, 0.75762,970172.00, 0.2394, 0.2601,0
152171992.00,1156125.00,188131.00,156116.00,72862.00, 0.47196,1141256.00, 0.0, 0.0,0
15196925.00,145604.00, 0.0, 0.55964,73478.00, 0.0,1121888.00, 0.0, 0.0,0
151115.00, 17.38, 0.0, 0.34136, 75.41, 0.0,664588.00, 0.0, 0.0,0
151937358.00,13789.00,241113.00,11888.00,727612.00, 0.0,976628.00, 0.0, 0.0,0
151828014.00,1446065.00,224051.00,161894.00,723804.00, 0.0,926056.00, 0.0, 0.0,0
151853072.00,1408825.00,219112.00,166067.00,726716.00, 0.0,932512.00, 0.0, 0.0,0
151299518.00,144008.00,174212.00,153869.00,745476.00, 0.0,759276.00, 0.0, 0.0,0
151887242.00,1499265.00, 0.78126,174092.00,72498.00, 0.0,99492.00, 0.0, 0.0,0
151905466.00,140018.00,238868.00,156116.00,723692.00, 0.0,95726.00, 0.0, 0.0,0
151916856.00,141481.00, 0.0,209081.00,727388.00, 0.0,1088532.00, 0.0, 0.0,0
151613882.00,138821.00,177804.00,178907.00,730972.00, 0.0,866876.00, 0.75915, 0.0,1
151509094.00,1515225.00, 0.0,225131.00,735004.00, 0.0,83352.00, 0.63, 0.0,1
152247166.00,1485965.00,22001.00,205871.00,70258.00, 0.75762,975552.00, 0.0, 0.0,1
151652608.00,1194695.00, 0.0,11888.00,751804.00,270135.00,8927.00, 0.0, 0.0,1
152064926.00,143609.00, 0.0,202019.00,73422.00, 0.0,84428.00,164115.00, 0.0,1
151130946.00,1368925.00,320137.00,181154.00,728116.00,175743.00, 5.43,11907.00, 0.0,1
151556932.00,138688.00, 0.0,254021.00,732316.00, 0.14283,94112.00, 0.80955, 0.0051,1
15163894.00,1436755.00, 0.0,273923.00,728508.00, 0.0,945424.00, 0.53865, 0.0,1
152315506.00,134432.00,334056.00,123053.00,723804.00, 0.60237,883016.00, 0.0, 0.0,1
151545542.00,1414145.00, 0.0,268145.00,733884.00, 0.08073,906688.00, 0.6111, 0.0255,1
15165033.00,1438085.00, 0.0,193994.00,736124.00, 0.0,847508.00,15687.00, 0.0,1
151682222.00,145604.00, 0.0,197846.00,732876.00, 0.0,851812.00,15687.00, 0.0357,1
151645774.00,1493945.00, 0.0,186932.00,731084.00, 0.0,866876.00,13797.00, 0.0,1
15171867.00,1475325.00, 0.0,200093.00,730188.00, 0.0,852888.00,159075.00, 0.0408,1
15161616.00,1495275.00, 0.0,227057.00,732988.00, 0.0,87118.00, 0.67095, 0.0,1
151711836.00,142279.00, 0.0,208118.00,733604.00, 0.0,861496.00,16695.00, 0.0,1
152365622.00,1579065.00,183192.00,131078.00,704316.00, 0.3105,861496.00,167895.00, 0.0,1
15151365.00,14853.00, 0.0,242144.00,737188.00, 0.0,8389.00, 0.5607, 0.0,1
1516845.00,149195.00, 0.0,19913.00, 73.58, 0.0,839976.00,159075.00, 0.0,1
151622994.00,142013.00, 0.0,279059.00,734612.00, 0.03726,904536.00, 0.40005, 0.459,1
151531874.00,1438085.00, 0.0,265898.00,730972.00, 0.03726,907764.00, 0.63945, 0.0,1
151609326.00,15126.00, 0.0,251132.00,730524.00, 0.04968,883016.00, 0.5292, 0.0,1
151830292.00,143875.00, 0.0,182117.00,72862.00,140967.00,647372.00,28791.00, 0.0,1
151602492.00,14853.00, 0.0,237971.00,73282.00, 0.0,875484.00, 0.63945, 0.459,1
151727782.00,1470005.00, 0.0,234119.00,73282.00, 0.0,894852.00, 0.6615, 0.0,1
151622994.00,1414145.00, 0.0,288047.00, 72.61, 0.08073,918524.00,106155.00, 0.0,1
151837126.00,14321.00,325974.00,221921.00,712492.00,145935.00,578508.00,162855.00, 0.0,1
151657164.00,147998.00, 0.0,19913.00,731084.00, 0.0,82814.00,171045.00, 0.0,1
151732338.00,1495275.00, 0.0,17987.00,729908.00, 0.0,861496.00,15498.00, 0.0,1
